Yi,Yj,khat,rhat
CON21-71-R2,SP0112286309-R1,156790.515032895,0.511051623295406
CON21-71-R2,SP0112286309-R2,111550.680531832,0.491593424771709
CON21-71-R2,SP0112286325-R1,139.371698277537,0.514001275412738
CON21-71-R2,SP0112286325-R2,2811.27669357944,0.497216466253454
CON21-71-R2,SP0112286370-R1,27.114009807683,0.479205661256856
CON21-71-R2,SP0112286370-R2,9194.32699534985,0.461614653355236
CON21-71-R2,SP0112286435-R1,75.2151332423091,0.55087174475193
CON21-71-R2,SP0112286435-R2,898.21617315647,0.481549654033402
CON21-71-R2,SP0112286439-R1,17045.0380254829,0.469160474239174
CON21-71-R2,SP0112286439-R2,103569.706809579,0.469964376999801
CON21-71-R2,SP0112286453-R1,123615.944636898,0.543657892175597
CON21-71-R2,SP0112286453-R2,50191.4705692658,0.491757661594914
CON21-71-R2,SP0112286484-R1,1344.39546582324,0.546724897384111
CON21-71-R2,SP0112286484-R2,9542.10195509316,0.513557131408039
CON21-71-R2,SP0112286487-R1,119434.391961239,0.498022143591871
CON21-71-R2,SP0112286487-R2,15109.9860674426,0.537448404751816
CON21-71-R2,1-GZ,17240.9573000486,0.550862617283636
CON21-71-R2,118-GZ,130864.470804816,0.540197657180522
CON21-71-R2,220-GZ-2,31034.6185974724,0.510011236215122
CON21-71-R2,32-GZ,3926.56803026224,0.516404917427719
CON21-71-R2,H-118,3226.97866896657,0.574634992986846
CON21-71-R2,H-122,2596.33681345765,0.52173951635968
CON21-71-R2,H-143,40963.760424127,0.490593753273
CON21-71-R2,H-156,94618.7400925873,0.458984131937043
CON21-71-R2,H-159,139142.925186881,0.529740736098733
CON21-71-R2,H-163,134963.191909239,0.480588016087812
CON21-71-R2,H-168,6112.16413498348,0.466572542505733
CON21-71-R2,H-169,44618.322657409,0.520435928825151
CON21-71-R2,H-171,4405.28457945399,0.473424202986174
CON21-71-R2,H-175,11385.9619658589,0.538787866205493
CON21-71-R2,H-2278,128917.652442153,0.470778706693728
CON21-71-R2,H-2280,7907.09547360588,0.499722733929936
CON21-71-R2,H-2286,10058.4641869746,0.523309654676282
CON21-71-R2,H-2287,3988.15927409815,0.578896899824839
CON21-71-R2,H-23,130049.304855101,0.528762121178898
CON21-71-R2,H-85,138404.55900424,0.490774384163022
CON21-71-R2,H-93,60955.112934629,0.473524380327234
CON21-75-R1,CON21-76-R1,771.372723341206,0.663657881426444
CON21-75-R1,CON22-138-R1,23.6494741903989,0.711258868817765
CON21-75-R1,CON22-237-R1,1187.13861213276,0.739411380422223
CON21-75-R1,CON22-285-R1,118000.150820309,0.673200219613834
CON21-75-R1,CON22-320-R1,137.723484389583,0.718584668997428
CON21-75-R1,CON22-326-R1,50.3177888206574,0.762337493568339
CON21-75-R1,CON22-327-R1,100.138013718409,0.726552016647936
CON21-75-R1,HRP0046-R1,1169.82253774104,0.496553174288305
CON21-75-R1,HRP0132-R1,8783.18293272207,0.50341694647901
CON21-75-R1,HRP0144-R1,1116.95872993988,0.500814536922001
CON21-75-R1,HRP0148-R1,116398.505287491,0.54080984830689
CON21-75-R1,HRP0166-R1,39843.4018152121,0.464818361185325
CON21-75-R1,HRP0174-R1,1280.97698918035,0.499542637097676
CON21-75-R1,HRP0187-R1,142.332423880564,0.603597646552771
CON21-75-R1,SP0101254202-R1,2102.82271688746,0.57990790720042
CON21-75-R1,SP0101254202-R2,112284.850044957,0.549546622922082
CON21-75-R1,SP0101254215-R1,55.6192016601562,0.5115966796875
CON21-75-R1,SP0101254215-R2,23766.5356715759,0.502846012132615
CON21-75-R1,SP0101254260-R1,20945.6271160726,0.5273400506455
CON21-75-R1,SP0101254260-R2,3028.60167077958,0.523859378809845
CON21-75-R1,SP0101254266-R1,2702.33041480607,0.506658087345386
CON21-75-R1,SP0101254266-R2,3730.76674639012,0.452210847316922
CON21-75-R1,SP0101254283-R1,7342.62628730671,0.549444039698166
CON21-75-R1,SP0101254283-R2,123844.234972074,0.497280294056309
CON21-75-R1,SP0101254289-R1,8013.23834645771,0.537297395484991
CON21-75-R1,SP0101254289-R2,592.275594962707,0.491264092668644
CON21-75-R1,SP0101254313-R1,123997.902128451,0.523277773156306
CON21-75-R1,SP0101254313-R2,116053.835147979,0.500264525096568
CON21-75-R1,SP0101254334-R2,92.9656209331633,0.51589836996393
CON21-75-R1,SP0101254341-R1,100978.019069552,0.522997357230685
CON21-75-R1,SP0101254341-R2,129.04296875,0.5390625
CON21-75-R1,SP0101254347-R1,47.5347332895035,0.438077431870624
CON21-75-R1,SP0101254347-R2,3227.57992008618,0.426756726590042
