hapid	total_reads	total_samples	strain	refid_PvP01	snv_dist_from_PvP01	indel_dist_from_PvP01	bimera
ASV501	530	24	PvP01	pvmrp1_7	0	0	FALSE
ASV502	530	21	PvP01	FRM1_1	0	0	FALSE
ASV503	528	9	N	PVP01_0602400	2	0	FALSE
ASV504	525	3	N	MCA3	2	0	FALSE
ASV505	521	23	N	PVP01_0109700_2	1	0	FALSE
ASV506	521	18	N	PVP01_1144900	6	0	FALSE
ASV507	521	9	N	SufD	3	0	FALSE
ASV508	518	15	N	ApiAP2_1	1	15	FALSE
ASV509	518	9	N	PVP01_1329500	1	0	FALSE
ASV510	516	20	PvP01	RBP2b_1	0	0	FALSE
ASV511	515	18	N	PVP01_1261200	2	0	FALSE
ASV512	514	14	PvP01	pvpi3k_7	0	0	FALSE
ASV513	514	16	PvP01	RON2	0	0	FALSE
ASV514	514	6	N	ApiAP2_G5	1	0	FALSE
ASV515	513	7	N	pvpi3k_7	0	18	FALSE
ASV516	510	5	N	CCR4-3	0	1	FALSE
ASV517	507	25	PvP01	PVP01_0109700_2	0	0	FALSE
ASV518	504	15	N	pvpi3k_7	0	15	FALSE
ASV519	500	9	N	pvmdr1_1	28	0	FALSE
ASV520	500	8	N	PVP01_0420500	2	0	FALSE
ASV521	498	7	N	PVP01_1101300	1	0	FALSE
ASV522	489	16	N	EIF3K_2	3	0	FALSE
ASV523	487	8	N	ORP1	3	0	FALSE
ASV524	485	11	N	PVP01_1315600	1	0	FALSE
ASV525	485	9	N	MATE	1	0	FALSE
ASV526	484	9	N	PVP01_1027500	1	0	FALSE
ASV527	482	30	N	pvmdr2_3	1	0	FALSE
ASV528	482	1	N	PVP01_0838300	1	0	FALSE
ASV529	481	3	N	PVP01_0302700	3	0	FALSE
ASV530	480	4	N	PVP01_0318900	1	0	FALSE
ASV531	477	13	N	RON2	1	0	FALSE
ASV532	456	6	PvP01	CIA1	0	0	FALSE
ASV533	454	7	N	PSOP1	1	0	FALSE
ASV534	452	4	PvP01	PVP01_0210500	0	0	FALSE
ASV535	448	10	N	PVP01_0103700_1	1	0	FALSE
ASV536	447	8	N	NSF	2	0	FALSE
ASV537	442	11	N	ApiAP2_2	5	0	FALSE
ASV538	441	22	N	pvmdr1_2	1	0	FALSE
ASV539	439	7	N	PVP01_1465800	2	12	FALSE
ASV540	436	2	N	PVP01_0513400	1	0	FALSE
ASV541	429	13	N	RAMA	43	0	FALSE
ASV542	427	10	PvP01	pvmdr2_5	0	0	FALSE
ASV543	426	9	PvP01	PVP01_1301600_1	0	0	FALSE
ASV544	425	8	N	pvpi3k_14	1	0	FALSE
ASV545	424	3	N	DRS1	2	0	FALSE
ASV546	423	8	N	PVP01_0518900	2	0	FALSE
ASV547	423	12	N	SOD2_1	2	0	FALSE
ASV548	423	1	PvP01	PVP01_1320900	0	0	FALSE
ASV549	421	8	PvP01	ATG23	0	0	FALSE
ASV550	414	18	N	PVP01_0405000_1	2	0	FALSE
ASV551	406	21	PvP01	RON1	0	0	FALSE
ASV552	404	4	N	ATG12	1	0	FALSE
ASV553	401	12	N	PVP01_1143300	3	0	FALSE
ASV554	401	34	N	PVP01_1136100	0	52	FALSE
ASV555	400	10	N	FRM1_1	4	0	FALSE
ASV556	399	9	N	pBAS	2	0	FALSE
ASV557	398	13	N	PVP01_1301600_1	1	0	FALSE
ASV558	397	18	N	PVP01_0405000_1	1	0	FALSE
ASV559	396	6	N	FRM2	1	0	FALSE
ASV560	391	8	N	G37	1	0	FALSE
ASV561	391	12	N	LRR5	3	0	FALSE
ASV562	391	8	PvP01	DRS1	0	0	FALSE
ASV563	388	1	N	PVP01_0602400	1	0	FALSE
ASV564	387	7	N	BDP6	2	0	FALSE
ASV565	383	9	N	PVP01_0927200	4	0	FALSE
ASV566	382	24	N	PVP01_0624000	1	0	FALSE
ASV567	376	9	N	PVP01_1270000	2	0	FALSE
ASV568	373	6	N	PVP01_0602400	2	0	FALSE
ASV569	371	4	PvP01	PVP01_0602400	0	0	FALSE
ASV570	369	17	PvP01	PVP01_0405000_2	0	0	FALSE
ASV571	369	9	N	PVP01_1144900	0	30	FALSE
ASV572	369	6	N	CCR4-3	0	1	FALSE
ASV573	365	5	N	PIP1	1	0	FALSE
ASV574	365	15	PvP01	ETRAMP11.2	0	0	FALSE
ASV575	363	15	N	TERT	3	0	FALSE
ASV576	362	9	N	RAMA	1	0	FALSE
ASV577	356	6	N	RAP	2	0	FALSE
ASV578	355	7	N	PVP01_0820800	0	18	FALSE
ASV579	355	15	N	pvpi3k_7	18	3	FALSE
ASV580	354	2	N	PVP01_1467900	1	0	FALSE
ASV581	354	2	N	PVP01_1421800	4	0	FALSE
ASV582	353	8	N	pvdhps_1	0	21	FALSE
ASV583	350	10	N	PVP01_1136100	2	0	FALSE
ASV584	349	15	N	FRM2	1	30	FALSE
ASV585	341	26	N	PVP01_1413100_1	1	0	FALSE
ASV586	338	3	PvP01	ApiAP2_G5	0	0	FALSE
ASV587	337	4	N	PVP01_0527700	1	0	FALSE
ASV588	332	5	N	PVP01_0735100	2	0	FALSE
ASV589	330	12	N	PVP01_1002800	4	0	FALSE
ASV590	329	9	N	LISP2	23	9	FALSE
ASV591	329	16	N	pvmdr1_2	2	0	FALSE
ASV592	329	4	N	FCP	1	0	FALSE
ASV593	328	6	N	FT1	2	0	FALSE
ASV594	327	8	N	PVP01_0933300	1	0	FALSE
ASV595	327	29	PvP01	CRMP2	0	0	FALSE
ASV596	327	2	N	PVP01_1101300	3	0	FALSE
ASV597	324	25	PvP01	pvmrp1_8	0	0	FALSE
ASV598	324	9	N	pvpi3k_6	2	0	FALSE
ASV599	322	17	N	PVP01_1316900	1	0	FALSE
