Sample_id,order_in_plate,typeofSamp,Run,Country,Strata,sample_ampl_rate,Total_ReadDepth,Mean_ReadDepth,SD_ReadDepth,Median_ReadDepth,IQR_ReadDepth,q25_ReadDepth,q75_ReadDepth,SamplePlate_ID,SamplePlate_Well_Position,Parasite_qPCR,Cq,Parasite_Concentration
G7B0473,144,Samples,Run2,Guyana,Guyana,0.911458333333333,29249,167.137142857143,353.25911746514,80,141.5,28.5,170,NA,NA,NA,NA,NA
G7B0477,116,Samples,Run2,Guyana,Guyana,0.53125,3935,38.578431372549,89.0698286833059,17.5,19,10,29,NA,NA,NA,NA,NA
G7B0480,115,Samples,Run2,Guyana,Guyana,0.739583333333333,10746,75.6760563380282,212.03052601369,26,41.5,13,54.5,NA,NA,NA,NA,NA
G7B0483,113,Samples,Run2,Guyana,Guyana,0.567708333333333,4185,38.394495412844,90.9407640280834,18,25,11,36,NA,NA,NA,NA,NA
G9L0034,93,Samples,Run2,Guyana,Guyana,0.666666666666667,7713,60.2578125,107.710697828364,29,40,14.75,54.75,NA,NA,NA,NA,NA
G9L0107,396,Samples,Run2,Guyana,Guyana,0.645833333333333,17743,143.088709677419,531.291370645052,31,64.75,12,76.75,NA,NA,NA,NA,NA
G9L0117,391,Samples,Run2,Guyana,Guyana,0.598958333333333,9069,78.8608695652174,183.065700360171,28,48.5,14.5,63,NA,NA,NA,NA,NA
G9L0120,397,Samples,Run2,Guyana,Guyana,0.697916666666667,11665,87.0522388059701,232.647279479227,28,54,15,69,NA,NA,NA,NA,NA
G9L0127,387,Samples,Run2,Guyana,Guyana,0.78125,19763,131.753333333333,379.269537005312,34.5,66.75,15.25,82,NA,NA,NA,NA,NA
G9L0140,395,Samples,Run2,Guyana,Guyana,0.567708333333333,7729,70.908256880734,168.307783610222,24,52,12,64,NA,NA,NA,NA,NA
HRP0302,382,Samples,Run2,Venezuela,Venezuela,0.90625,45191,259.718390804598,553.427654524755,71.5,206.5,27.25,233.75,VENEZ 005,D10,P. vivax,22.678802923623,4.79162425125068
HRP0305,384,Samples,Run2,Venezuela,Venezuela,0.979166666666667,91653,487.515957446808,1382.52205976371,181.5,340.5,62,402.5,VENEZ 005,D12,P. vivax,15.8103335115951,419.670902752041
HRP0352,355,Samples,Run2,Venezuela,Venezuela,0.614583333333333,24630,208.728813559322,688.989854675991,31.5,117.5,15,132.5,VENEZ 005,B07,P. vivax,19.7632582813075,31.9895788965479
