loci,loci_ampl_rate_Total,loci_ampl_rate_Honduras,loci_ampl_rate_Guyana,loci_ampl_rate_Venezuela,loci_ampl_rate_Colombia
PVP01_1007200,0,0,0,0,0
pvmdr1_1,0.641078838174274,0.46078431372549,0.638888888888889,0.847826086956522,0.847826086956522
pvmdr1_2,0.242738589211618,0.127450980392157,0.208333333333333,0.521739130434783,0.434782608695652
pvmdr1_3,0.280082987551867,0.147058823529412,0.232638888888889,0.652173913043478,0.5
pvmdr1_4,0.659751037344398,0.490196078431373,0.65625,0.847826086956522,0.869565217391304
pvmdr1_5,0.516597510373444,0.245098039215686,0.520833333333333,0.826086956521739,0.782608695652174
PVP01_1014100,0.437759336099585,0.0980392156862745,0.451388888888889,0.847826086956522,0.695652173913043
PSOP13,0.367219917012448,0.372549019607843,0.274305555555556,0.695652173913043,0.608695652173913
MB2,0.674273858921162,0.392156862745098,0.715277777777778,0.826086956521739,0.891304347826087
pvpi3k_1,0.522821576763485,0.411764705882353,0.46875,0.760869565217391,0.869565217391304
pvpi3k_2,0.636929460580913,0.490196078431373,0.618055555555556,0.826086956521739,0.891304347826087
pvpi3k_4,0.0414937759336099,0.186274509803922,0,0.0217391304347826,0
pvpi3k_5,0.481327800829875,0.313725490196078,0.440972222222222,0.782608695652174,0.804347826086957
pvpi3k_6,0.504149377593361,0.362745098039216,0.46875,0.695652173913043,0.847826086956522
pvpi3k_7,0.365145228215768,0.303921568627451,0.298611111111111,0.608695652173913,0.673913043478261
pvpi3k_10,0.66597510373444,0.411764705882353,0.6875,0.847826086956522,0.91304347826087
pvpi3k_11,0.049792531120332,0.235294117647059,0,0,0
pvpi3k_12,0.726141078838174,0.5,0.753472222222222,0.869565217391304,0.91304347826087
pvpi3k_13,0.244813278008299,0.147058823529412,0.173611111111111,0.58695652173913,0.565217391304348
pvpi3k_14,0,0,0,0,0
CWC2,0.224066390041494,0.215686274509804,0.145833333333333,0.434782608695652,0.521739130434783
PVP01_1024100,0.58298755186722,0.42156862745098,0.5625,0.782608695652174,0.869565217391304
PVP01_1027500,0.392116182572614,0.196078431372549,0.347222222222222,0.717391304347826,0.782608695652174
SUMO,0.506224066390041,0.303921568627451,0.534722222222222,0.760869565217391,0.521739130434783
MyoB,0.639004149377593,0.382352941176471,0.663194444444444,0.869565217391304,0.826086956521739
VPS11,0.746887966804979,0.372549019607843,0.829861111111111,0.869565217391304,0.934782608695652
TRAG18,0.562240663900415,0.0392156862745098,0.645833333333333,0.847826086956522,0.91304347826087
PVP01_1101300,0.5,0.176470588235294,0.5,0.826086956521739,0.891304347826087
ERCC4,0.4149377593361,0.0588235294117647,0.420138888888889,0.760869565217391,0.826086956521739
pvabc-e1_1,0.661825726141079,0.372549019607843,0.684027777777778,0.91304347826087,0.91304347826087
pvabc-e1_3,0.649377593360996,0.490196078431373,0.625,0.891304347826087,0.91304347826087
SRPR_alpha,0.516597510373444,0.176470588235294,0.538194444444444,0.869565217391304,0.782608695652174
PVP01_1107600,0.37551867219917,0.196078431372549,0.340277777777778,0.58695652173913,0.782608695652174
GCbeta_2,0.0186721991701245,0,0.0104166666666666,0.0869565217391305,0.0434782608695652
PIP1,0,0,0,0,0
PABP3,0.0643153526970954,0.284313725490196,0,0.0217391304347826,0.0217391304347826
RAP,0.4149377593361,0.254901960784314,0.364583333333333,0.739130434782609,0.760869565217391
SOD2_1,0.0850622406639004,0.196078431372549,0.0138888888888888,0.173913043478261,0.195652173913043
SOD2_2,0.078838174273859,0.0686274509803921,0.0243055555555556,0.260869565217391,0.260869565217391
ROM10,0.524896265560166,0.333333333333333,0.513888888888889,0.760869565217391,0.782608695652174
PVP01_1131100,0.0352697095435685,0.0980392156862745,0.0104166666666666,0.0434782608695652,0.0434782608695652
PVP01_1133200,0.242738589211618,0.343137254901961,0.15625,0.434782608695652,0.369565217391304
PVP01_1136100,0.0352697095435685,0.117647058823529,0.00347222222222221,0.0869565217391305,0
NUP637,0.0975103734439834,0.235294117647059,0.03125,0.195652173913043,0.108695652173913
PVP01_1140700,0,0,0,0,0
PVP01_1143300,0.107883817427386,0.196078431372549,0.0277777777777778,0.326086956521739,0.195652173913043
PVP01_1144400,0.406639004149378,0.343137254901961,0.329861111111111,0.717391304347826,0.717391304347826
PVP01_1144900,0.219917012448133,0.264705882352941,0.149305555555556,0.391304347826087,0.391304347826087
PVP01_1147300,0.670124481327801,0.235294117647059,0.753472222222222,0.869565217391304,0.91304347826087
TRAG20,0.0726141078838174,0.0294117647058824,0.03125,0.347826086956522,0.152173913043478
pvk13,0.24896265560166,0.294117647058823,0.138888888888889,0.608695652173913,0.478260869565217
RAD5,0.221991701244813,0,0.190972222222222,0.565217391304348,0.565217391304348
TRAP,0.190871369294606,0.0784313725490197,0.145833333333333,0.565217391304348,0.347826086956522
MSP7_like,0,0,0,0,0
PVP01_1224500,0,0,0,0,0
PVP01_1226900,0.215767634854772,0.0294117647058824,0.197916666666667,0.608695652173913,0.347826086956522
PVP01_1233500,0.186721991701245,0.254901960784314,0.111111111111111,0.41304347826087,0.282608695652174
HDA1,0.0456431535269709,0.166666666666667,0.00347222222222221,0.0869565217391305,0
ATG12,0.549792531120332,0.362745098039216,0.534722222222222,0.782608695652174,0.826086956521739
KIN17,0,0,0,0,0
ApiAP2_1,0.0643153526970954,0.274509803921569,0.00347222222222221,0.0217391304347826,0.0217391304347826
RON11,0.0726141078838174,0.0196078431372549,0.0208333333333334,0.369565217391304,0.217391304347826
GAPDH,0.122406639004149,0.147058823529412,0.0868055555555556,0.282608695652174,0.130434782608696
FCP,0.29045643153527,0.235294117647059,0.197916666666667,0.652173913043478,0.630434782608696
FER2_1,0.182572614107884,0.00980392156862742,0.135416666666667,0.478260869565217,0.565217391304348
FER2_2,0.369294605809129,0.196078431372549,0.329861111111111,0.652173913043478,0.717391304347826
RON2,0.188796680497925,0.0294117647058824,0.145833333333333,0.521739130434783,0.478260869565217
PVP01_1256600,0.323651452282158,0.0490196078431373,0.302083333333333,0.695652173913043,0.695652173913043
pvmdr2_1,0.08298755186722,0.392156862745098,0,0,0
pvmdr2_3,0.371369294605809,0.372549019607843,0.277777777777778,0.630434782608696,0.695652173913043
pvmdr2_5,0.504149377593361,0.352941176470588,0.465277777777778,0.782608695652174,0.804347826086957
pvmdr2_6,0.495850622406639,0.323529411764706,0.458333333333333,0.804347826086957,0.804347826086957
PVP01_1261200,0.387966804979253,0.303921568627451,0.326388888888889,0.739130434782609,0.608695652173913
PVP01_1261400,0.309128630705394,0.284313725490196,0.25,0.543478260869565,0.5
CLK1,0.280082987551867,0.0980392156862745,0.21875,0.760869565217391,0.58695652173913
NCS2,0.058091286307054,0,0.0208333333333334,0.304347826086957,0.173913043478261
PVP01_1267700,0,0,0,0,0
PVP01_1270000,0.0643153526970954,0.0490196078431373,0.0173611111111112,0.304347826086957,0.152173913043478
PVP01_1301600_1,0.79253112033195,0.558823529411765,0.836805555555556,0.91304347826087,0.91304347826087
PVP01_1301600_2,0.653526970954357,0.392156862745098,0.670138888888889,0.891304347826087,0.891304347826087
G37,0.369294605809129,0.205882352941177,0.34375,0.739130434782609,0.521739130434783
PVP01_1308100,0.37551867219917,0.0588235294117647,0.413194444444444,0.760869565217391,0.456521739130435
CIA1,0.730290456431535,0.372549019607843,0.802083333333333,0.891304347826087,0.91304347826087
PIGM,0.70746887966805,0.450980392156863,0.732638888888889,0.91304347826087,0.91304347826087
PVP01_1311000,0.516597510373444,0.245098039215686,0.541666666666667,0.760869565217391,0.717391304347826
