Sample_id,order_in_plate,typeofSamp,Run,Country,Strata,sample_ampl_rate
G4G2328,191,Samples,Run2,Guyana,Guyana,0.583333333333333
G4G2331,142,Samples,Run2,Guyana,Guyana,0.791666666666667
G4G2332,186,Samples,Run2,Guyana,Guyana,0.213541666666667
G4G2334,187,Samples,Run2,Guyana,Guyana,0.015625
G4G2345,189,Samples,Run2,Guyana,Guyana,0.21875
G4G2346,188,Samples,Run2,Guyana,Guyana,0.723958333333333
G4G2349,192,Samples,Run2,Guyana,Guyana,0.03125
G4G2357,126,Samples,Run2,Guyana,Guyana,0.171875
G4G2365,123,Samples,Run2,Guyana,Guyana,0.489583333333333
G4G2370,183,Samples,Run2,Guyana,Guyana,0.885416666666667
G4G2376,184,Samples,Run2,Guyana,Guyana,0.00520833333333337
G4G2378,185,Samples,Run2,Guyana,Guyana,0.130208333333333
G4G2379,182,Samples,Run2,Guyana,Guyana,0.875
G4G2382,181,Samples,Run2,Guyana,Guyana,0.015625
G4G2388,124,Samples,Run2,Guyana,Guyana,0.473958333333333
G4G2390,180,Samples,Run2,Guyana,Guyana,0.942708333333333
G4G2392,261,Samples,Run2,Guyana,Guyana,0.0520833333333334
G4G2397,260,Samples,Run2,Guyana,Guyana,0.182291666666667
G4G2405,282,Samples,Run2,Guyana,Guyana,0.03125
G4G2410,262,Samples,Run2,Guyana,Guyana,0.0104166666666666
G4G2414,223,Samples,Run2,Guyana,Guyana,0.411458333333333
G4G2419,201,Samples,Run2,Guyana,Guyana,0.828125
G4G2420,200,Samples,Run2,Guyana,Guyana,0.875
G4G2423,280,Samples,Run2,Guyana,Guyana,0.515625
G4G2428,281,Samples,Run2,Guyana,Guyana,0.583333333333333
G4G2432,193,Samples,Run2,Guyana,Guyana,0.979166666666667
G4G2433,199,Samples,Run2,Guyana,Guyana,0.0677083333333334
G4G2445,106,Samples,Run2,Guyana,Guyana,0.213541666666667
G4G2450,105,Samples,Run2,Guyana,Guyana,0.130208333333333
G4G2452,109,Samples,Run2,Guyana,Guyana,0.145833333333333
G4G2453,111,Samples,Run2,Guyana,Guyana,0.348958333333333
G4G2457,112,Samples,Run2,Guyana,Guyana,0.229166666666667
G4G2461,23,Samples,Run2,Guyana,Guyana,0.453125
G4G2463,22,Samples,Run2,Guyana,Guyana,0.942708333333333
G4G2466,107,Samples,Run2,Guyana,Guyana,0.635416666666667
G4G2470,108,Samples,Run2,Guyana,Guyana,0.8125
G4G2473,277,Samples,Run2,Guyana,Guyana,0.729166666666667
G4G2475,278,Samples,Run2,Guyana,Guyana,0.869791666666667
G4G2482,279,Samples,Run2,Guyana,Guyana,0.375
G4G2484,224,Samples,Run2,Guyana,Guyana,0.755208333333333
G4G2492,50,Samples,Run2,Guyana,Guyana,0.0677083333333334
