Sample_id,Parasite_Concentration,Parasite,Threshold,AmpRate,log_parasitemia,log_OR_AmplRate
PF00329,25.880717484756,P. vivax,1,0.240963855421687,4.69380570825145,-1.62385151411475
PF00329,25.880717484756,P. vivax,5,0.208835341365462,4.69380570825145,-1.88678938955201
PF00329,25.880717484756,P. vivax,10,0.180722891566265,4.69380570825145,-2.14177396112816
PF00329,25.880717484756,P. vivax,20,0.132530120481928,4.69380570825145,-2.66073000833912
PF00329,25.880717484756,P. vivax,50,0.0522088353413655,4.69380570825145,-4.0691620245074
PF00329,25.880717484756,P. vivax,100,0.0240963855421687,4.69380570825145,-5.11150831521699
PF00359,8.24087561669832,P. vivax,1,0.0602409638554217,3.04279763604371,-3.86418614465428
PF00359,8.24087561669832,P. vivax,5,0.0562248995983936,3.04279763604371,-3.96347412397489
PF00359,8.24087561669832,P. vivax,10,0.0321285140562249,3.04279763604371,-4.73696559416621
PF00359,8.24087561669832,P. vivax,20,0.0160642570281124,3.04279763604371,-5.60880924267552
PF00359,8.24087561669832,P. vivax,50,0.00803212851405622,3.04279763604371,-6.35755200461808
PF00359,8.24087561669832,P. vivax,100,0,3.04279763604371,-7.95419631038687
PF00361,2.50177468579517,P. vivax,1,0.0200803212851406,1.32295186371507,-5.33985000288462
PF00361,2.50177468579517,P. vivax,5,0.0160642570281124,1.32295186371507,-5.60880924267552
PF00361,2.50177468579517,P. vivax,10,0.00401606425702811,1.32295186371507,-6.94836723158468
